Parameter,Dyn infl,Reactions
J89_k,0.016534172,J89
J8_k1,0.008511468,J8
J8_k2,0.002267345,J8
J90_k,0.004471873,J90
J92_k,7.93601E-05,J92
J93_k,0.001409571,J93
J94_k,0.000450085,J94
J95_k1,0.168119845,J95
J95_k2,0.08614603,J95
J96_k1,0.254601811,J96
J96_k2,0.118311761,J96
J97_k,0.070024098,J97
J98_k,0.1683241,J98
J99_k,0.094212416,J99
J9_k1,0.237182529,J9
J9_k2,0.17171886,J9
re1_k1,0.005533009,re1
re1_k2,0.005299088,re1
re2_k1,1.87361965,re2
re2_k2,0.033123931,re2
re8_k1,0.340914878,re8
re8_k2,0.001687562,re8
